ChargerID,stationName,stationNamePoint,lat,lng,เลขถนน,ชื่อ ถนน (x),ตำบล,อำเภอ,จังหวัด,avg_ev_num_weekly_65,min_ev_num_weekly_65,max_ev_num_weekly_65,avg_res_ev_num_weekly_65,min_res_ev_num_weekly_65,max_res_ev_num_weekly_65,avg_trav_ev_num_weekly_65,min_trav_ev_num_weekly_65,max_trav_ev_num_weekly_65,avg_ev_num_weekly_66,min_ev_num_weekly_66,max_ev_num_weekly_66,avg_res_ev_num_weekly_66,min_res_ev_num_weekly_66,max_res_ev_num_weekly_66,avg_trav_ev_num_weekly_66,min_trav_ev_num_weekly_66,max_trav_ev_num_weekly_66,num_lw7_seats_veh_yearly_65,num_lw7_seats_veh_yearly_66
T124-IT1-1322-082,PEA VOLTA พัทยาใต้ #1,PEA VOLTA พัทยาใต้,12.92273712,100.8841324,3,พัทยาใต้,เมืองพัทยา,บางละมุง,ชลบุรี,27,14,38,34,30,38,14,14,14,105,8,201,201,201,201,8,8,8,77142,81066
T53-IT1-4816-012,PEA VOLTA หัวหิน #1,PEA VOLTA หัวหิน,12.55186462,99.96103668,4,เพชรเกษม,หัวหิน,หัวหิน,ประจวบครีขันธ์,21,0,54,34,21,54,12,3,18,65,0,175,93,46,175,5,2,8,39596,42430
T53-IT1-0717-012,PEA VOLTA เขาย้อย,PEA VOLTA เขาย้อย,13.26557732,99.82255554,4,เพชรเกษม,สระพัง,เขาย้อย,เพชรบุรี,8,1,20,34,30,38,8,1,15,18,5,38,29,21,38,13,5,19,38445,39569
WAJU20030001,PEA VOLTA รังสิต,PEA VOLTA รังสิต,14.04528141,100.6161881,1,พหลโยธิน,คลองหนึ่ง,คลองหลวง,ปทุมธานี,4,0,30,26,22,30,9,1,18,50,0,206,81,21,206,12,4,19,108048,110457
T53-IT1-0817-001,PEA VOLTA สมุทรสาคร,PEA VOLTA สมุทรสาคร,13.54332638,100.2647705,3242,ถนน วิเชียรโชฎก,ตำบลมหาชัย,อำเภอเมืองสมุทรสาคร,สมุทรสาคร,12,4,35,26,22,35,10,4,19,68,16,154,70,27,154,18,16,19,14093,17408
T54-HU1-2920-010,PEA VOLTA บางจาก ชะอำ #2,PEA VOLTA บางจาก ชะอำ,12.81742477,99.9409256,4,ถ.เพชรเกษม,ตำบล ชะอำ,อำเภอชะอำ,เพชรบุรี,15,0,39,28,21,39,12,3,18,57,18,157,57,22,157,18,18,18,38445,39569
T54-HU1-2520-015,PEA VOLTA บางจาก วังมะนาว (ขาออก) #1,PEA VOLTA บางจาก วังมะนาว (ขาออก),13.31848145,99.8276062,4,ถนนเพชรเกษม,ตำบลห้วยโรง,อำเภอเขาย้อย,เพชรบุรี,13,1,28,23,21,28,11,1,19,47,21,140,47,21,140,19,19,19,38445,39569
T54-HU1-3020-011,PEA VOLTA บางจาก วังมะนาว (ขาออก) #2,PEA VOLTA บางจาก วังมะนาว (ขาออก),13.31848145,99.8276062,4,ถนนเพชรเกษม,ตำบลห้วยโรง,อำเภอเขาย้อย,เพชรบุรี,8,1,30,30,30,30,7,1,17,30,12,103,34,21,103,16,12,19,38445,39569
T54-HU1-2520-014,PEA VOLTA บางจาก เมืองกระบี่ #1,PEA VOLTA บางจาก เมืองกระบี่,8.10317039,98.90280151,4,ถ.ศรีพังงา,กระบี่ใหญ่,อำเภอเมืองกระบี่,กระบี่,7,0,26,24,22,26,7,1,17,55,19,110,57,23,110,19,19,19,27220,35174
T54-HU1-3020-014,PEA VOLTA บางจาก เมืองกระบี่ #2,PEA VOLTA บางจาก เมืองกระบี่,8.10317039,98.90280151,4,ถ.ศรีพังงา,กระบี่ใหญ่,อำเภอเมืองกระบี่,กระบี่,7,0,24,23,22,24,6,1,19,42,13,88,45,25,88,16,13,19,27220,35174
T54-HU1-2520-008,PEA VOLTA บางจาก คลองท่อม #1,PEA VOLTA บางจาก คลองท่อม,7.87007999,99.16378784,4,ถ.เพชรเกษม,ตำบล ห้วยน้ำขาว,อำเภอคลองท่อม,กระบี่,2,0,11,26,23,28,3,1,11,22,2,90,34,21,90,11,2,18,27220,35174
T54-HU1-3120-012,PEA VOLTA บางจาก คลองท่อม #2,PEA VOLTA บางจาก คลองท่อม,7.87007999,99.16378784,4,ถ.เพชรเกษม,ตำบล ห้วยน้ำขาว,อำเภอคลองท่อม,กระบี่,2,0,7,37,23,53,3,1,7,20,3,64,35,21,64,11,3,19,27220,35174
T54-HU1-2520-011,PEA VOLTA บางจาก บายพาสชลบุรี #1,PEA VOLTA บางจาก บายพาสชลบุรี,13.41339302,100.9996948,361,ถ. เลี่ยงเมืองชลบุรี,ตำบล หนองไม้แดง,อำเภอเมืองชลบุรี,ชลบุรี,37,11,95,43,21,95,15,11,19,128,91,250,128,91,250,11,2,18,22597,17335
T54-HU1-3020-012,PEA VOLTA บางจาก บายพาสชลบุรี #2,PEA VOLTA บางจาก บายพาสชลบุรี,13.41339302,100.9996948,361,ถ. เลี่ยงเมืองชลบุรี,ตำบล หนองไม้แดง,อำเภอเมืองชลบุรี,ชลบุรี,28,6,74,40,21,74,12,6,18,113,35,226,113,35,226,16,12,19,22597,17335
T54-HU1-2620-001,PEA VOLTA บางจาก เมืองพิษณุโลก (เซ็นทรัล) #1,PEA VOLTA บางจาก เมืองพิษณุโลก (เซ็นทรัล),16.84236336,100.2310944,12,ถ. สิงหวัฒน์,ตำบลพลายชุมพล,อำเภอเมืองพิษณุโลก,พิษณุโลก,14,2,54,27,21,54,10,2,18,74,34,168,74,34,168,19,19,19,48505,51660
T54-HU1-3020-013,PEA VOLTA บางจาก เมืองพิษณุโลก (เซ็นทรัล) #2,PEA VOLTA บางจาก เมืองพิษณุโลก (เซ็นทรัล),16.84236336,100.2310944,12,ถ. สิงหวัฒน์,ตำบลพลายชุมพล,อำเภอเมืองพิษณุโลก,พิษณุโลก,8,0,48,32,22,48,5,1,17,83,42,182,83,42,182,16,12,19,48505,51660
